;Nombre;Estrellas;Ciudad;Calificacion;Numero de reseñas;Precio por noche;Direccion;Servicios
0;Alameda House;0;Ciudad de México;6.2;85;248;Ciudad de México,  México;['Check-in/check-out online', 'Check-in/out exprés', 'Cubrebocas disponibles', 'Desinfección frecuente', 'Doctor en el hotel', 'Elevador', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sana distancia', 'Servicio a la habitación', 'Servicio de lavandería', 'Servicio de limpieza', 'Toma de temperatura', 'Traslado desde/al aeropuerto', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Balcón', 'Caja fuerte en habitación', 'Cocina', 'Microondas', 'Wifi gratis (habitaciones)']
1;Hotel & Villas 7;3;Ciudad de México;7.0;284;289;Calle 7 98,  08100,  Ciudad de México,  México;['Bar en el hotel', 'Check-in/check-out online', 'Cubrebocas disponibles', 'Desayuno', 'Doctor en el hotel', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Recepción 24 horas', 'Sana distancia', 'Servicio a la habitación', 'Servicio de limpieza', 'Toma de temperatura', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'TV', 'Televisión por cable', 'Acceso para silla de ruedas', 'Estacionamiento adaptado para discapacitados']
2;Hotel Halley;0;Leon;6.0;173;295;Leon,  México;['Check-in/check-out online', 'Check-in/out exprés', 'Desinfección frecuente', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Sana distancia', 'Servicio a la habitación', 'Servicio de lavandería', 'Servicio de limpieza', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Balcón', 'Baño con regadera', 'Clóset', 'Equipo para planchar', 'Escritorio', 'Televisión por cable', 'Ventilador', 'Wifi gratis (habitaciones)']
3;Hotel Occidental;0;Guadalajara;7.0;311;303;Calle General Villagomez Zona Centro,  44100,  Guadalajara,  México;['Estacionamiento', 'Recepción 24 horas', 'Servicio de limpieza', 'Snack bar', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Baño con regadera', 'Clóset', 'Escritorio', 'Ventilador', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados']
4;Hotel Canada;3;Guadalajara;6.2;234;306;ESTADIO 77,  44460,  Guadalajara,  México;['Elevador', 'Estacionamiento', 'Habitación de no fumar', 'Recepción 24 horas', 'Restaurante', 'Servicio a la habitación', 'Servicio de lavandería', 'Servicio de limpieza', 'Spa', 'Wifi gratis', 'Televisión por cable']
5;Hotel Dos Naciones;2;Ciudad de México;7.4;1098;310;Mina 13,  6300,  Ciudad de México,  México;['Elevador', 'Estacionamiento', 'Habitación de no fumar', 'PC con internet', 'Recepción 24 horas', 'Resguardo de equipaje', 'Servicio a la habitación', 'Servicio a la habitación 24hrs', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Caja fuerte en habitación', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados']
6;Gran  Galerias Plaza;0;Guadalajara;3.7;146;314;ALVARO OBREGON 229 COL. SAN JUAN DE DIOS,  44360,  Guadalajara,  México;['Recepción 24 horas', 'Servicio de limpieza', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Televisión por cable']
7;Hotel San Francisco Irapuato Business Class;4;Irapuato;6.4;1337;323;Portal Carrillo Puerto, 1,  36500,  Irapuato,  México;['Bar en el hotel', 'Botones', 'Café', 'Centro de negocios', 'Check-in/check-out online', 'Check-in/out exprés', 'Cubrebocas disponibles', 'Desayuno', 'Desinfección frecuente', 'Doctor en el hotel', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Lobby/vestíbulo', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Sala de conferencias', 'Sana distancia', 'Servicio a la habitación', 'Servicio de limpieza', 'Snack bar', 'Toma de temperatura', 'Trouser press', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Aire acondicionado', 'Baño con regadera', 'Caja fuerte en habitación', 'Clóset', 'Escritorio', 'Sala de estar', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Teléfono', 'Tetera', 'Ventilador', 'Wifi', 'Wifi gratis (habitaciones)', 'Acceso para silla de ruedas', 'Estacionamiento adaptado para discapacitados']
8;Hotel Maria Teresa;3;Salamanca;7.0;106;325;Juárez 204,  36700,  Salamanca,  México;['Centro de negocios', 'Check-in/check-out online', 'Check-in/out exprés', 'Concierge', 'Desayuno', 'Doctor en el hotel', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Sala de conferencias', 'Sana distancia', 'Servicio a la habitación', 'Servicio de lavandería', 'Servicio de limpieza', 'Toma de temperatura', 'Traslado desde/al aeropuerto', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Aire acondicionado', 'Clóset', 'Equipo para planchar', 'Escritorio', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Acceso para silla de ruedas', 'Estacionamiento adaptado para discapacitados']
9;Hotel Panorama;3;Ciudad de México;8.2;1424;360;Calzada de Guadalupe corner Platino 20,  6240,  Ciudad de México,  México;['Café', 'Check-in/check-out online', 'Check-in/out exprés', 'Cubrebocas disponibles', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Sana distancia', 'Servicio a la habitación', 'Servicio a la habitación 24hrs', 'Servicio de limpieza', 'Snack bar', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Baño con regadera', 'Caja fuerte en habitación', 'Escritorio', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Teléfono', 'Wifi', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados']
